city,url,date_time,weather_description,temperature
Orlando,https://www.timeanddate.com/weather/usa/orlando,Tue 11:43 pm,Clear. Warm.,77 °F
Brazzaville,https://www.timeanddate.com/weather/congo/brazzaville,Wed 4:43 am,Clear. Mild.,73 °F
Osaka,https://www.timeanddate.com/weather/japan/osaka,Wed 12:43 pm,Partly sunny. Warm.,79 °F
Bridgetown,https://www.timeanddate.com/weather/barbados/bridgetown,Tue 11:43 pm,Passing clouds. Warm.,81 °F
Oslo,https://www.timeanddate.com/weather/norway/oslo,Wed 5:43 am,Low clouds. Cool.,55 °F
Brisbane,https://www.timeanddate.com/weather/australia/brisbane,Wed 1:43 pm,Mild.,75 °F
Ottawa,https://www.timeanddate.com/weather/canada/ottawa,Tue 11:43 pm,Passing clouds. Refreshingly cool.,55 °F
Brussels,https://www.timeanddate.com/weather/belgium/brussels,Wed 5:43 am,Sprinkles. Passing clouds. Cool.,55 °F
Palikir,https://www.timeanddate.com/weather/micronesia/palikir,Wed 2:43 pm,Cloudy. Warm.,87 °F
Bucharest,https://www.timeanddate.com/weather/romania/bucharest,Wed 6:43 am,Fog. Cool.,59 °F
Palma,https://www.timeanddate.com/weather/spain/palma,Wed 5:43 am,Clear. Mild.,70 °F
Budapest,https://www.timeanddate.com/weather/hungary/budapest,Wed 5:43 am,Sunny. Cool.,59 °F
Panama,https://www.timeanddate.com/weather/panama/panama,Tue 10:43 pm,Passing clouds. Warm.,82 °F
Buenos Aires,https://www.timeanddate.com/weather/argentina/buenos-aires,Wed 12:43 am,Passing clouds. Cool.,57 °F
Papeete,https://www.timeanddate.com/weather/france/papeete,Tue 5:43 pm,Mostly cloudy. Warm.,77 °F
Bujumbura,https://www.timeanddate.com/weather/burundi/bujumbura,Wed 5:43 am,Passing clouds. Mild.,73 °F
Paris,https://www.timeanddate.com/weather/france/paris,Wed 5:43 am,Clear. Cool.,54 °F
Cairns,https://www.timeanddate.com/weather/australia/cairns,Wed 1:43 pm,Sunny. Warm.,81 °F
Patna,https://www.timeanddate.com/weather/india/patna,Wed 9:13 am,Haze. Hot.,90 °F
Cairo,https://www.timeanddate.com/weather/egypt/cairo,Wed 6:43 am,Sunny. Mild.,75 °F
Pensacola,https://www.timeanddate.com/weather/usa/pensacola,Tue 10:43 pm,Clear. Mild.,73 °F
Calgary,https://www.timeanddate.com/weather/canada/calgary,Tue 9:43 pm,Light rain. Mostly cloudy. Cool.,46 °F
Perm,https://www.timeanddate.com/weather/russia/perm,Wed 8:43 am,Passing clouds. Cool.,55 °F
Canberra,https://www.timeanddate.com/weather/australia/canberra,Wed 1:43 pm,Mostly cloudy. Cool.,55 °F
Perth,https://www.timeanddate.com/weather/australia/perth,Wed 11:43 am,Passing clouds. Cool.,61 °F
Cancún,https://www.timeanddate.com/weather/mexico/cancun,Tue 10:43 pm,Thunderstorms. Mostly cloudy. Warm.,82 °F
Petropavlovsk-Kamchatsky,https://www.timeanddate.com/weather/russia/petropavlovsk-kamchatsky,Wed 3:43 pm,Partly sunny. Cool.,50 °F
Cape Town,https://www.timeanddate.com/weather/south-africa/cape-town,Wed 5:43 am,Clear. Cool.,59 °F
Pevek,https://www.timeanddate.com/weather/russia/pevek,Wed 3:43 pm,Partly sunny. Chilly.,37 °F
Caracas,https://www.timeanddate.com/weather/venezuela/caracas,Tue 11:43 pm,Passing clouds. Warm.,81 °F
Philadelphia,https://www.timeanddate.com/weather/usa/philadelphia,Tue 11:43 pm,Partly cloudy. Mild.,66 °F
Cardiff,https://www.timeanddate.com/weather/uk/cardiff,Wed 4:43 am,Partly cloudy. Cool.,55 °F
Phoenix,https://www.timeanddate.com/weather/usa/phoenix,Tue 8:43 pm,Clear. Extremely hot.,100 °F
Casablanca,https://www.timeanddate.com/weather/morocco/casablanca,Wed 4:43 am,Mild.,68 °F
Pituffik,https://www.timeanddate.com/weather/greenland/pituffik,Wed 12:43 am,Partly sunny. Chilly.,28 °F
Castries,https://www.timeanddate.com/weather/saint-lucia/castries,Tue 11:43 pm,Passing clouds. Warm.,81 °F
Podgorica,https://www.timeanddate.com/weather/montenegro/podgorica,Wed 5:43 am,Passing clouds. Mild.,66 °F
Cayenne,https://www.timeanddate.com/weather/france/cayenne,Wed 12:43 am,Light rain. Partly cloudy. Mild.,75 °F
Pond Inlet,https://www.timeanddate.com/weather/canada/pond-inlet,Tue 11:43 pm,Sunny. Chilly.,30 °F
Charleston,https://www.timeanddate.com/weather/usa/charleston-wv,Tue 11:43 pm,Passing clouds. Cool.,59 °F
Ponta Delgada,https://www.timeanddate.com/weather/portugal/ponta-delgada-azores,Wed 3:43 am,Partly cloudy. Mild.,64 °F
Chelyabinsk,https://www.timeanddate.com/weather/russia/chelyabinsk,Wed 8:43 am,Sunny. Cool.,61 °F
Pontianak,https://www.timeanddate.com/weather/indonesia/pontianak,Wed 10:43 am,Scattered clouds. Hot.,89 °F
Chennai,https://www.timeanddate.com/weather/india/chennai,Wed 9:13 am,Passing clouds. Hot.,90 °F
Port-au-Prince,https://www.timeanddate.com/weather/haiti/port-au-prince,Tue 11:43 pm,Sandstorm. Warm.,88 °F
Cheyenne,https://www.timeanddate.com/weather/usa/cheyenne,Tue 9:43 pm,Clear. Mild.,64 °F
Port-aux-Francais,https://www.timeanddate.com/weather/kerguelen/port-aux-francais,Wed 8:43 am,Passing clouds. Quite cool.,43 °F
Chibougamau,https://www.timeanddate.com/weather/canada/chibougamau,Tue 11:43 pm,Clear. Cool.,55 °F
Port Louis,https://www.timeanddate.com/weather/mauritius/port-louis,Wed 7:43 am,Passing clouds. Mild.,68 °F
Chicago,https://www.timeanddate.com/weather/usa/chicago,Tue 10:43 pm,Clear. Refreshingly cool.,62 °F
Port of Spain,https://www.timeanddate.com/weather/trinidad-and-tobago/port-of-spain,Tue 11:43 pm,Passing clouds. Warm.,81 °F
Chita,https://www.timeanddate.com/weather/russia/chita,Wed 12:43 pm,Scattered clouds. Cool.,54 °F
Port Vila,https://www.timeanddate.com/weather/vanuatu/port-vila,Wed 2:43 pm,Scattered clouds. Warm.,81 °F
Chișinău,https://www.timeanddate.com/weather/moldova/chisinau,Wed 6:43 am,Rain. Low clouds. Cool.,57 °F
Portland,https://www.timeanddate.com/weather/usa/portland-or,Tue 8:43 pm,Partly sunny. Pleasantly warm.,80 °F
Chongqing,https://www.timeanddate.com/weather/china/chongqing,Wed 11:43 am,Scattered clouds. Mild.,72 °F
Porto Novo,https://www.timeanddate.com/weather/benin/porto-novo,Wed 4:43 am,Passing clouds. Warm.,84 °F
Colombo,https://www.timeanddate.com/weather/sri-lanka/colombo,Wed 9:13 am,Overcast. Warm.,83 °F
Prague,https://www.timeanddate.com/weather/czech-republic/prague,Wed 5:43 am,Light rain. Passing clouds. Cool.,57 °F
Columbia,https://www.timeanddate.com/weather/usa/columbia,Tue 11:43 pm,Clear. Cool.,62 °F
Praia,https://www.timeanddate.com/weather/cape-verde/praia,Wed 2:43 am,Passing clouds. Mild.,76 °F
Columbus,https://www.timeanddate.com/weather/usa/columbus,Tue 11:43 pm,Passing clouds. Mild.,63 °F
Pretoria,https://www.timeanddate.com/weather/south-africa/pretoria,Wed 5:43 am,Quite cool.,43 °F
Concord,https://www.timeanddate.com/weather/usa/concord,Tue 11:43 pm,Sunny. Mild.,70 °F
Pristina,https://www.timeanddate.com/weather/kosovo/pristina,Wed 5:43 am,Cool.,59 °F
Copenhagen,https://www.timeanddate.com/weather/denmark/copenhagen,Wed 5:43 am,Partly sunny. Cool.,59 °F
Providence,https://www.timeanddate.com/weather/usa/providence,Tue 11:43 pm,Partly cloudy. Refreshingly cool.,61 °F
Coral Harbour,https://www.timeanddate.com/weather/canada/coral-harbour,Tue 10:43 pm,Partly sunny. Chilly.,36 °F
Pune,https://www.timeanddate.com/weather/india/pune,Wed 9:13 am,Sunny. Mild.,77 °F
Córdoba,https://www.timeanddate.com/weather/argentina/cordoba,Wed 12:43 am,Overcast. Cool.,55 °F
Punta Arenas,https://www.timeanddate.com/weather/chile/punta-arenas,Wed 12:43 am,Fog. Quite cool.,44 °F
Dakar,https://www.timeanddate.com/weather/senegal/dakar,Wed 3:43 am,Clear. Mild.,75 °F
Pyongyang,https://www.timeanddate.com/weather/north-korea/pyongyang,Wed 12:43 pm,Overcast. Mild.,68 °F
Dallas,https://www.timeanddate.com/weather/usa/dallas,Tue 10:43 pm,Mostly cloudy. Warm.,77 °F
Québec,https://www.timeanddate.com/weather/canada/quebec,Tue 11:43 pm,Passing clouds. Cool.,59 °F
Damascus,https://www.timeanddate.com/weather/syria/damascus,Wed 6:43 am,Cool.,59 °F
Quito,https://www.timeanddate.com/weather/ecuador/quito,Tue 10:43 pm,Passing clouds. Cool.,50 °F
Danmarkshavn,https://www.timeanddate.com/weather/greenland/danmarkshavn,Wed 3:43 am,Low clouds. Chilly.,29 °F
Rabat,https://www.timeanddate.com/weather/morocco/rabat,Wed 4:43 am,Passing clouds. Mild.,68 °F
Dar es Salaam,https://www.timeanddate.com/weather/tanzania/dar-es-salaam,Wed 6:43 am,Fog. Mild.,73 °F
Raleigh,https://www.timeanddate.com/weather/usa/raleigh,Tue 11:43 pm,Passing clouds. Mild.,63 °F
Darwin,https://www.timeanddate.com/weather/australia/darwin,Wed 1:13 pm,Scattered clouds. Warm.,86 °F
Rapid City,https://www.timeanddate.com/weather/usa/rapid-city,Tue 9:43 pm,Passing clouds. Cool.,62 °F
Delhi,https://www.timeanddate.com/weather/india/delhi,Wed 9:13 am,Haze. Hot.,89 °F
Rarotonga,https://www.timeanddate.com/weather/cook-islands/rarotonga,Tue 5:43 pm,Partly sunny. Mild.,75 °F
Denpasar,https://www.timeanddate.com/weather/indonesia/denpasar,Wed 11:43 am,Passing clouds. Warm.,85 °F
Recife,https://www.timeanddate.com/weather/brazil/recife,Wed 12:43 am,Fog. Mild.,75 °F
Denver,https://www.timeanddate.com/weather/usa/denver,Tue 9:43 pm,Passing clouds. Mild.,69 °F
Regina,https://www.timeanddate.com/weather/canada/regina,Tue 9:43 pm,Passing clouds. Cool.,59 °F
Des Moines,https://www.timeanddate.com/weather/usa/des-moines,Tue 10:43 pm,Partly cloudy. Mild.,72 °F
Resolute Bay,https://www.timeanddate.com/weather/canada/resolute,Tue 10:43 pm,Low clouds. Chilly.,27 °F
Detroit,https://www.timeanddate.com/weather/usa/detroit,Tue 11:43 pm,Clear. Mild.,64 °F
Reykjavik,https://www.timeanddate.com/weather/iceland/reykjavik,Wed 3:43 am,Light rain. Overcast. Cool.,50 °F
Dhaka,https://www.timeanddate.com/weather/bangladesh/dhaka,Wed 9:43 am,Scattered clouds. Warm.,85 °F
Richmond,https://www.timeanddate.com/weather/usa/richmond,Tue 11:43 pm,Clear. Refreshingly cool.,59 °F
Dnipro,https://www.timeanddate.com/weather/ukraine/dnipro,Wed 6:43 am,Overcast. Cool.,59 °F
Riga,https://www.timeanddate.com/weather/latvia/riga,Wed 6:43 am,Sunny. Cool.,54 °F
Dodoma,https://www.timeanddate.com/weather/tanzania/dodoma,Wed 6:43 am,Passing clouds. Mild.,66 °F
Rio Branco,https://www.timeanddate.com/weather/brazil/rio-branco,Tue 10:43 pm,Clear. Mild.,72 °F
Doha,https://www.timeanddate.com/weather/qatar/doha,Wed 6:43 am,Sunny. Extremely hot.,97 °F
Rio de Janeiro,https://www.timeanddate.com/weather/brazil/rio-de-janeiro,Wed 12:43 am,Light rain. Overcast. Mild.,68 °F
Douglas,https://www.timeanddate.com/weather/isle-of-man/douglas,Wed 4:43 am,Passing clouds. Cool.,55 °F
Riyadh,https://www.timeanddate.com/weather/saudi-arabia/riyadh,Wed 6:43 am,Clear. Hot.,91 °F
Dover,https://www.timeanddate.com/weather/usa/dover,Tue 11:43 pm,Clear. Mild.,64 °F
Rome,https://www.timeanddate.com/weather/italy/rome,Wed 5:43 am,Passing clouds. Mild.,70 °F
Dubai,https://www.timeanddate.com/weather/united-arab-emirates/dubai,Wed 7:43 am,Sunny. Warm.,86 °F
Roseau,https://www.timeanddate.com/weather/dominica/roseau,Tue 11:43 pm,Passing clouds. Warm.,81 °F
Dublin,https://www.timeanddate.com/weather/ireland/dublin,Wed 4:43 am,Passing clouds. Cool.,54 °F
Rovaniemi,https://www.timeanddate.com/weather/finland/rovaniemi,Wed 6:43 am,Passing clouds. Quite cool.,41 °F
Dushanbe,https://www.timeanddate.com/weather/tajikistan/dushanbe,Wed 8:43 am,Clear. Mild.,73 °F
Sacramento,https://www.timeanddate.com/weather/usa/sacramento,Tue 8:43 pm,Sunny. Mild.,74 °F
Easter Island,https://www.timeanddate.com/weather/chile/easter-island,Tue 9:43 pm,Passing clouds. Cool.,55 °F
Saint-Denis,https://www.timeanddate.com/weather/reunion/saint-denis,Wed 7:43 am,Passing clouds. Mild.,72 °F
Edinburgh,https://www.timeanddate.com/weather/uk/edinburgh,Wed 4:43 am,Partly cloudy. Cool.,50 °F
Saint George's,https://www.timeanddate.com/weather/grenada/saint-georges,Tue 11:43 pm,Passing clouds. Warm.,82 °F
Edmonton,https://www.timeanddate.com/weather/canada/edmonton,Tue 9:43 pm,Mostly cloudy. Cool.,48 °F
Saint John (New Brunswick),https://www.timeanddate.com/weather/canada/saint-john,Wed 12:43 am,Passing clouds. Quite cool.,41 °F
El Aaiún,https://www.timeanddate.com/weather/western-sahara/el-aaiun,Wed 4:43 am,Overcast. Mild.,70 °F
